Rank,Team,Touches in Opposition Box,Matches,Country,Corners Taken,Fouls per Match,Yellow Cards,Accurate Long Balls per Match,Successful Long Balls (%),Successful Tackles per Match,Tackle Success (%),Accurate Crosses per Match,Cross Success (%),Clean Sheets,Goals Conceded per Match,Total Goals Conceded,Red Cards,Possession (%),Expected Goals Conceded,Goals Conceded,Interceptions per Match,Total Interceptions,Big Chances Missed,Goals,FotMob Team Rating,Penalties Conceded,Penalty Goals Conceded,Penalties Won,Conversion Rate (%),Expected Goals,Goals per Match,Total Goals Scored,Accurate Passes per Match,Pass Success (%),Saves per Match,Total Saves,Possession Won Final 3rd per Match,Total Possessions Won,Big Chances,Clearances per Match,Total Clearances,Shots on Target per Match,Shot Conversion Rate (%)
1,Arsenal,1587.0,38,ENG,265.0,10.3,62.0,19.1,46.7,9.2,57.0,4.6,26.0,18.0,0.8,29.0,2.0,58.4,28.4,29.0,7.7,292.0,63.0,91.0,7.18,3.0,2.0,10.0,100.0,77.4,2.4,91.0,481.0,86.8,1.4,55.0,6.7,820.0,113.0,12.7,481.0,6.0,13.9
2,Manchester City,1573.0,38,ENG,286.0,7.6,52.0,26.4,62.4,8.0,59.0,4.1,22.1,13.0,0.9,34.0,2.0,65.4,35.9,34.0,6.1,233.0,73.0,96.0,7.37,3.0,3.0,10.0,90.0,81.9,2.5,96.0,625.1,90.5,2.0,77.0,7.5,787.0,124.0,11.1,420.0,7.3,13.9
3,Liverpool,1513.0,38,ENG,287.0,12.2,65.0,25.3,51.0,11.0,61.7,6.0,28.0,10.0,1.1,41.0,5.0,61.6,46.2,41.0,7.7,292.0,79.0,86.0,7.19,1.0,1.0,9.0,66.7,89.4,2.3,86.0,508.2,85.8,2.9,111.0,6.1,999.0,128.0,14.9,565.0,7.3,10.9
4,Tottenham Hotspur,1403.0,38,ENG,234.0,11.2,89.0,16.2,50.6,11.9,62.3,3.6,19.0,7.0,1.6,61.0,4.0,62.0,64.6,61.0,9.3,355.0,65.0,74.0,7.07,7.0,7.0,2.0,100.0,69.0,1.9,74.0,517.4,87.4,2.9,110.0,6.5,813.0,107.0,17.2,652.0,5.7,12.7
5,Newcastle United,1178.0,38,ENG,192.0,10.2,77.0,21.1,45.6,10.3,59.2,4.7,27.3,10.0,1.6,62.0,1.0,52.3,62.0,62.0,7.5,285.0,70.0,85.0,7.02,5.0,4.0,9.0,88.9,77.1,2.2,85.0,396.7,82.7,3.6,135.0,5.1,790.0,134.0,17.1,651.0,5.6,15.4
6,Brighton & Hove Albion,1158.0,38,ENG,206.0,10.9,91.0,20.9,53.2,9.6,56.8,4.8,27.0,6.0,1.6,62.0,3.0,60.2,56.4,62.0,7.6,288.0,61.0,55.0,6.8,6.0,6.0,6.0,83.3,58.0,1.4,55.0,551.2,89.0,2.8,108.0,4.7,797.0,91.0,15.1,572.0,5.5,9.8
7,Chelsea,1127.0,38,ENG,202.0,11.7,105.0,23.2,51.7,9.9,56.7,3.0,20.4,8.0,1.7,63.0,4.0,59.0,59.0,63.0,7.8,298.0,73.0,77.0,7.02,5.0,3.0,12.0,91.7,75.3,2.0,77.0,504.7,87.5,3.4,128.0,5.7,733.0,122.0,19.2,731.0,5.7,14.0
8,Manchester United,1109.0,38,ENG,224.0,10.6,81.0,23.5,46.1,10.8,60.5,3.4,21.7,9.0,1.5,58.0,1.0,50.5,70.1,58.0,8.2,313.0,50.0,57.0,6.96,7.0,7.0,7.0,85.7,56.9,1.5,57.0,393.4,82.7,3.9,149.0,5.1,777.0,79.0,21.9,833.0,5.1,10.4
9,AFC Bournemouth,1101.0,38,ENG,235.0,13.3,79.0,23.8,39.6,10.8,59.2,4.5,24.1,9.0,1.8,67.0,3.0,44.1,58.8,67.0,9.4,357.0,49.0,54.0,6.81,7.0,6.0,3.0,66.7,56.7,1.4,54.0,288.1,77.1,3.5,133.0,5.4,901.0,83.0,20.7,788.0,4.9,10.0
10,Aston Villa,1078.0,38,ENG,231.0,10.8,94.0,21.2,49.4,8.2,56.9,3.9,22.6,8.0,1.6,61.0,2.0,53.3,60.7,61.0,6.2,236.0,58.0,76.0,6.91,2.0,1.0,4.0,100.0,64.7,2.0,76.0,402.8,85.6,3.1,116.0,4.1,632.0,98.0,14.8,562.0,5.0,14.8
11,Brentford,1031.0,38,ENG,184.0,10.1,89.0,25.0,42.8,10.5,58.9,5.2,28.2,7.0,1.7,65.0,2.0,45.0,56.7,65.0,9.9,378.0,69.0,56.0,6.82,2.0,2.0,3.0,100.0,59.8,1.5,56.0,307.0,76.6,3.2,121.0,4.8,798.0,107.0,22.8,865.0,4.5,11.8
12,Fulham,891.0,38,ENG,212.0,10.1,78.0,25.6,48.2,10.1,56.6,4.7,24.5,10.0,1.6,61.0,4.0,50.7,64.3,61.0,9.8,371.0,35.0,55.0,6.82,8.0,8.0,2.0,100.0,51.6,1.4,55.0,403.8,82.5,3.5,134.0,4.0,775.0,69.0,18.8,716.0,4.7,11.0
13,Burnley,871.0,38,ENG,180.0,11.3,71.0,22.8,39.1,9.0,56.3,3.5,24.0,2.0,2.1,78.0,7.0,47.4,71.9,78.0,7.4,280.0,43.0,41.0,6.64,7.0,6.0,3.0,100.0,40.9,1.1,41.0,344.1,79.5,4.5,170.0,4.0,776.0,60.0,21.7,823.0,3.7,9.5
14,Everton,845.0,38,ENG,181.0,12.0,80.0,27.4,43.6,11.6,59.5,4.5,22.6,13.0,1.3,51.0,1.0,40.5,56.1,51.0,9.4,358.0,63.0,40.0,6.92,8.0,8.0,3.0,66.7,54.9,1.1,40.0,273.7,75.6,3.2,121.0,5.8,879.0,90.0,22.1,839.0,4.3,7.9
15,Crystal Palace,840.0,38,ENG,178.0,12.0,69.0,21.5,39.2,12.2,58.9,3.8,24.5,10.0,1.5,58.0,2.0,42.1,52.8,58.0,8.5,324.0,36.0,57.0,6.94,3.0,3.0,4.0,100.0,49.1,1.5,57.0,318.1,79.2,2.6,99.0,5.1,802.0,71.0,22.8,867.0,4.4,12.5
16,Luton Town,830.0,38,ENG,203.0,11.7,71.0,22.9,38.8,9.7,56.3,5.1,23.2,2.0,2.2,85.0,0.0,42.2,79.8,85.0,8.6,325.0,27.0,52.0,6.69,4.0,4.0,5.0,100.0,43.4,1.4,52.0,267.1,76.1,3.9,147.0,4.2,765.0,65.0,22.8,868.0,3.7,12.0
17,Nottingham Forest,824.0,38,ENG,148.0,11.3,78.0,22.2,43.4,11.3,58.9,3.4,21.8,4.0,1.8,67.0,3.0,40.3,53.9,67.0,8.7,331.0,51.0,49.0,6.78,4.0,4.0,1.0,100.0,50.4,1.3,49.0,293.3,78.7,2.7,103.0,3.4,682.0,81.0,23.9,910.0,3.9,10.9
18,West Ham United,800.0,38,ENG,166.0,10.3,76.0,23.0,42.1,11.2,62.3,4.2,23.9,5.0,1.9,74.0,3.0,40.7,72.2,74.0,9.5,361.0,46.0,60.0,6.89,10.0,8.0,5.0,80.0,52.9,1.6,60.0,306.8,79.1,4.5,171.0,4.3,751.0,80.0,22.7,862.0,4.1,13.3
19,Wolverhampton Wanderers,795.0,38,ENG,156.0,12.5,100.0,21.2,40.1,11.3,58.2,3.7,24.4,5.0,1.7,65.0,4.0,48.9,68.9,65.0,7.5,284.0,42.0,50.0,6.86,8.0,8.0,4.0,100.0,47.6,1.3,50.0,382.2,82.4,3.7,142.0,4.4,784.0,73.0,20.7,786.0,4.2,11.7
20,Sheffield United,694.0,38,ENG,141.0,11.1,95.0,19.8,33.8,10.7,57.1,2.8,24.8,1.0,2.7,104.0,5.0,35.5,77.5,104.0,9.1,347.0,41.0,35.0,6.49,7.0,5.0,5.0,100.0,39.0,0.9,35.0,232.5,72.3,4.5,170.0,3.2,639.0,62.0,26.2,997.0,3.4,9.6
